Gene	Probe_ID	MCF7__biological_rep1	MCF7__biological_rep2	MCF7__biological_rep3	MCF7_silenced_Estrogen_receptor__biological_rep1	MCF7_silenced_Estrogen_receptor__biological_rep2	MCF7_silenced_Estrogen_receptor__biological_rep3
A1BG	229819_at	5.72339	5.69041	5.61666	5.77115	5.80064	5.69764
A1BG-AS1	232462_s_at	5.54791	5.65728	5.28277	5.13048	4.90774	5.26262
A1CF	220951_s_at,241547_at	5.07227	4.718455	4.828985	4.73516	4.89369	4.99262
A2M	1558450_at,217757_at	4.714295	4.646275	4.82303	4.92044	4.741215	4.94988
A2M-AS1	1564139_at	4.25557	4.03033	4.2416	3.83861	3.74836	3.96416
A2ML1	1553505_at,1564307_a_at	4.56789	4.54244	4.519345	4.44121	4.42985	4.362655
A2MP1	236394_at	5.38989	5.01349	5.38805	5.09035	4.95092	5.36454
A4GALT	219488_at	6.75712	6.6446	6.79283	6.49399	6.45965	6.38099
A4GNT	221131_at	5.3319	5.27316	5.28552	5.24412	5.48958	5.18084
AA06	241552_at	5.34784	5.32507	5.24498	5.47179	5.16719	5.2713
AAAS	218075_at	8.60542	8.69209	8.48063	7.87064	8.32696	8.23238
AACS	218434_s_at	10.3077	10.3163	10.2207	9.43737	9.48937	9.51795
AACSP1	1570020_at	4.21527	4.37796	4.25377	4.20233	4.1347	4.34601
AADAC	205969_at	5.12562	5.07923	5.20655	4.90129	4.78214	4.57895
AADACL2	240420_at	3.99648	3.80272	3.99962	3.78612	3.78058	3.90946
AADACP1	1569582_at	3.83468	3.72345	3.99155	3.79428	3.65004	3.71174
AADAT	223593_at	6.74663	6.82429	6.68022	7.84468	7.6429	7.45487
AAED1	227534_at	8.99948	8.92055	8.84861	9.14951	9.22303	9.27299
AAGAB	202851_at,202852_s_at,243284_at	6.85001666666667	6.97456	6.84505666666667	7.08800666666667	6.86061	6.72697
AAK1	205434_s_at,205435_s_at,211186_s_at,214956_at,214998_at,225522_at,238100_at	6.16620285714286	6.06771142857143	6.11567857142857	6.33812	6.35724	6.45637428571429
AAMDC	220268_at,221599_at,221600_s_at	7.16494333333333	7.15654	7.10290666666667	7.37831333333333	7.18784333333333	7.11873666666667
AAMP	201511_at	9.88552	9.94496	9.81002	9.54206	9.57261	9.52632
AANAT	207225_at	4.18543	4.25614	4.18366	4.08444	4.29395	4.41094
AAR2	218089_at	9.49928	9.46373	9.45712	9.70721	9.70395	9.73501
AARS	201000_at	11.6238	11.696	11.5941	11.6874	11.4475	11.4725
AARS2	230024_at,231845_at	8.015755	8.14531	8.07521	8.011535	7.90471	7.944345
AASDH	228041_at,235435_at	7.8996	8.21604	8.18102	8.156515	8.157765	8.03232
AASDHPPT	202169_s_at,202170_s_at,224313_at	8.33830333333333	8.31837	8.45450666666667	8.55593333333333	8.78465	8.60486666666667
AASS	210852_s_at,214829_at	4.2391	4.390225	4.294505	8.020145	7.727755	7.79261
AATBC	1563088_a_at	4.38573	4.35857	4.34542	4.21611	4.26428	4.36346
AATF	209165_at	10.4135	10.466	10.3187	10.969	10.8442	10.9002
AATK	205986_at	6.80256	6.88067	6.67923	6.19951	6.41328	6.37584
ABAT	206527_at,209459_s_at,209460_at	10.0099666666667	9.94183666666667	9.91875666666667	4.47006666666667	4.43809333333333	4.46571333333333
ABCA1	1570279_at,203504_s_at,203505_at,216066_at	4.6246825	4.50916	4.5060425	6.27811	6.15977	6.1689325
ABCA11P	220159_at	6.9936	7.03648	7.08131	7.20441	7.19212	7.02756
ABCA12	215465_at	8.34486	8.44696	8.29395	3.66706	3.67184	3.69838
ABCA13	1553295_at,1553604_at,1553605_a_at	3.86905333333333	3.83679	3.81246333333333	3.76197666666667	3.77004666666667	3.74069666666667
ABCA17P	231164_at	5.08276	5.07218	5.15442	4.49843	4.42824	4.40915
ABCA2	210099_at,210100_s_at,212772_s_at	7.53838333333333	7.75665	7.65200333333333	6.02918333333333	6.55452333333333	6.57278333333333
ABCA3	204343_at	8.69547	8.70211	8.68083	7.85153	7.58184	7.68283
ABCA4	1569102_at,210082_at	4.71651	4.736785	4.82714	4.566495	4.84117	4.958325
ABCA5	213353_at,241705_at	6.868435	6.990495	7.14669	5.807465	5.47089	5.59166
ABCA6	217504_at	4.78329	4.60898	4.60011	4.61975	4.43363	4.67772
ABCA7	219577_s_at	6.09692	6.3312	5.91807	5.75677	5.53226	5.76362
ABCA8	1565778_at,1565780_at,204719_at	4.09073333333333	4.04243333333333	4.09822333333333	4.09391	3.97609666666667	4.00357
ABCA9	235335_at,239185_at,242541_at	4.32161	4.27230333333333	4.26995	4.21129	4.25328	4.34747333333333
ABCB1	209993_at,243951_at	4.847385	4.67994	4.87442	4.700305	4.486505	4.570795
ABCB10	223320_s_at	8.78225	8.68104	8.67011	9.37402	9.278	9.32316
ABCB11	208288_at,211224_s_at	4.438185	4.47054	4.635275	4.446615	4.46135	4.354365
ABCB4	1570505_at,207819_s_at	4.737215	4.728055	4.766855	4.10206	4.356195	4.098775
ABCB4///ABCB1	209994_s_at	5.0812	5.18693	5.31748	4.30526	4.29008	4.33383
ABCB5	1555371_at,1569072_s_at,240717_at,243167_at	4.9284875	4.8317325	4.895815	4.7930675	4.8752225	4.8895725
ABCB6	203191_at,203192_at	7.018725	6.91682	6.95375	6.318235	6.352875	6.25102
ABCB7	209620_s_at	9.09527	9.10599	9.09878	9.8681	9.67017	9.68068
ABCB8	206317_s_at,229539_at	6.44761	6.592745	6.35243	6.05084	6.325245	6.311835
ABCB8///ASIC3	207561_s_at	4.77637	4.94697	4.83175	4.63554	4.99108	4.94937
ABCB9	1555323_at,207321_s_at,214209_s_at	6.45131	6.52100333333333	6.48909	6.13214666666667	6.30781333333333	6.36584
ABCC1	202804_at,202805_s_at	8.73823	8.84994	8.63582	8.71446	8.60757	8.60857
ABCC10	213485_s_at,215873_x_at	8.353825	8.348165	8.24611	8.581735	8.405015	8.471295
ABCC11	1554911_at,224146_s_at	4.94908	4.722435	4.780355	4.62552	4.83868	4.7853
ABCC12	1552590_a_at,1553410_a_at	4.29438	4.20922	4.107545	4.32945	4.288835	4.18612
